Strata,BETA,SEBeta,RR,Low95%CI,Upper95%CI,BETA,SEBeta,RR,Low95%CI,Upper95%CI,BETA,SEBeta,RR,Low95%CI,Upper95%CI,BETA,SEBeta,RR,Low95%CI,Upper95%CI
Air Pollutant:,AQHI,,IQR=1,,,CO,,IQR=0.1,,,O3,,IQR=12.8,,,PM2.5,,IQR=6.5,,
Age 60+ Male,-0.011864,0.018298,0.988205645,0.953393083,1.024289,0.033373,0.16618,1.003342857,0.971189185,1.036561,-0.002137,0.002108,0.973014818,0.922899348,1.025852,-0.002295,0.002334,0.985192664,0.956330206,1.014926
All: LAG2,-0.016971,0.006411,0.983172542,0.970895635,0.995605,-0.033174,0.058147,0.996688138,0.985393464,1.008112,-0.002325,0.000747,0.970675076,0.952662057,0.989029,-0.001295,0.000811,0.991615618,0.981422384,1.001915
Female,-0.008418,0.007908,0.991617759,0.976366231,1.007108,0.098079,0.071458,1.009856105,0.9958109,1.024099,-0.003456,0.000925,0.95672891,0.934779915,0.979193,-0.000091,0.000998,0.999405872,0.986778371,1.012195
Male,-0.030535,0.010126,0.969926242,0.950865738,0.989369,-0.241372,0.092104,0.976151795,0.958688078,0.993934,-0.000589,0.00117,0.992492048,0.963783655,1.022056,-0.003223,0.001285,0.979270791,0.963374754,0.995429
Warm All,-0.022602,0.006117,0.97765127,0.966000276,0.989443,-0.065325,0.07421,0.993488788,0.979142889,1.008045,-0.002517,0.000701,0.968301707,0.951432339,0.98547,-0.002332,0.000875,0.984954519,0.974040964,0.99599
Warm Female,-0.01662,0.007487,0.983517145,0.969190555,0.998056,0.062293,0.090385,1.006248773,0.988579495,1.024234,-0.002632,0.000861,0.96686991,0.94620219,0.987989,-0.001547,0.001067,0.989992854,0.976625752,1.003543
Warm Male,-0.0322,0.009494,0.968312894,0.950461537,0.9865,-0.271102,0.115451,0.973253953,0.95147809,0.995528,-0.00234,0.001079,0.970491246,0.94456225,0.997132,-0.003642,0.001363,0.976604766,0.959795084,0.993709
Cold All,-0.009383,0.006828,0.990661175,0.977490787,1.004009,-0.011427,0.048627,0.998857931,0.98938306,1.008424,-0.002275,0.000819,0.971299796,0.951544692,0.991465,-0.000709,0.000758,0.995402691,0.985833695,1.005065
Cold Female,0.003175,0.008479,1.003179657,0.986645461,1.019991,0.120377,0.060281,1.012110399,1.000222698,1.024139,-0.004988,0.001022,0.93814898,0.91441006,0.962504,0.000742,0.000941,1.004836736,0.992863597,1.016954
Cold Male,-0.028977,0.011035,0.971438341,0.950653749,0.992677,-0.218396,0.078722,0.978397144,0.963416806,0.99361,0.001883,0.001311,1.024397007,0.991256574,1.058645,-0.002974,0.001226,0.980851949,0.965647268,0.996296
